"id_articulos";"activo";"serial_art";"plaqueta_art";"fecha_creacion";"fk_items";"fk_puesto";"fk_campaign";"fk_bodega";"fk_sede";"fk_tipo"
1;"1";"V9-006ZYP";"024921";"2017-03-18";20;1;7;7;1;2
2;"1";"V1PR615";"017419";"2017-03-18";16;2;7;7;1;2
3;"1";"V9-006YFF";"018494";"2017-03-18";20;3;7;7;1;2
4;"1";"CNT93568B2";"024194";"2017-03-18";24;4;7;7;1;2
5;"1";"V1BMF94";"010789";"2017-03-18";16;5;7;7;1;2
6;"1";"V1BCP43";"010106";"2017-03-18";16;6;7;7;1;2
7;"1";"V1PR716";"010088";"2017-03-18";16;7;7;7;1;2
8;"1";"V1PR667";"010097";"2017-03-18";16;8;7;7;1;2
9;"1";"VNALZVM";"000773";"2017-03-18";16;9;7;7;1;2
10;"1";"V1ZT639";"024803";"2017-03-18";16;10;7;7;1;2
11;"1";"V1PR553";"010313";"2017-03-18";16;11;7;7;1;2
12;"1";"VNAC012";"000805";"2017-03-18";19;12;7;7;1;2
13;"1";"V1ALK07";"010678";"2017-03-18";16;13;7;7;1;2
14;"1";"V1PR669";"010359";"2017-03-18";16;14;7;7;1;2
15;"1";"V1PP891";"010724";"2017-03-18";16;15;7;7;1;2
16;"1";"V1ZT559";"010031";"2017-03-18";16;16;7;7;1;2
17;"1";"V1ALK47";"024080";"2017-03-18";16;17;7;7;1;2
18;"1";"V1ALK48";"011134";"2017-03-18";16;18;7;7;1;2
19;"1";"VNALZRZ";"000892";"2017-03-18";19;19;7;7;1;2
20;"1";"VNALZVB";"001160";"2017-03-18";19;20;7;7;1;2
21;"1";"V257191";"008688";"2017-03-18";16;21;7;7;1;2
22;"1";"V1PR655";"019740";"2017-03-18";16;22;7;7;1;2
23;"1";"VNAC1W1";"001865";"2017-03-18";19;23;7;7;1;2
24;"1";"VNA4D88";"001674";"2017-03-18";19;24;7;7;1;2
25;"1";"VNAR40M";"000811";"2017-03-18";19;25;7;7;1;2
26;"1";"VNABZR6";"000928";"2017-03-18";19;26;7;7;1;2
27;"1";"VNAC1R7";"001773";"2017-03-18";19;27;7;7;1;2
28;"1";"V1ALH97";"024866";"2017-03-18";16;28;7;7;1;2
29;"1";"CNC038NR12";"002014";"2017-03-18";23;29;7;7;1;2
30;"1";"V1PC445";"008713";"2017-03-18";16;30;7;7;1;2
31;"1";"V1BCR04";"010133";"2017-03-18";16;31;7;7;1;2
32;"1";"V1PR701";"010237";"2017-03-18";19;32;7;7;1;2
33;"1";"CNT933629L";"014974";"2017-03-18";24;33;7;7;1;2
34;"1";"V1BMF72";"010098";"2017-03-18";16;34;7;7;1;2
35;"1";"V1PR714";"010123";"2017-03-18";16;35;7;7;1;2
36;"1";"MJGMCNY";"012724";"2017-03-18";9;1;7;7;1;1
37;"1";"MJGMCPG";"024166";"2017-03-18";9;2;7;7;1;1
38;"1";"MJEDRDV";"008883";"2017-03-18";9;3;7;7;1;1
39;"1";"MJEDVGM";"024587";"2017-03-18";9;4;7;7;1;1
